ID,Gender,Age,Country,How often movies,How often games,Women in media important,Use Bechdel before,Is Bechdel good?,Bechdel comments,Modifications on Bechdel,What Bechdel Mods,Film good rep,Games good rep,Strength,Strength comments,Good strong traits,Bad strong traits,Historical context,Context comments,Representation changed,Rep changed comments,Film Narrative,Film Characters,Game Narrative,Game Characters,Game Gameplay,Personally assess
1,Woman,23-27,United Kingdom,At least once a week,At least once a day,Moderately important,No,No,Too narrow,Yes,,"Star Trek, independent important women","Tomb Raider, badass important woman",Yes,sometimes it is believed that a woman has to resemble a man to appear strong (eg cutting her hair short or wearing masculine clothes),"wit, intelligent, independent ",,Historical accuracy/context can justify a lack of representation in some instances,"if a historical movie is trying to accurately recreate a historical period, in my opinion that is more important",Yes,Characters like people should have the ability to evolve and grow. ,"dialogue, importance","Appearance, behaviour, music","dialogue, importance","Abilities, appearance, interations",,
2,Man,18 - 23,Romania,At least once a week,At least once a day,Quite important,No,No,Too narrow,Yes,,"Motherland, realistic","Tomb Raider, good stereotype",Yes,See below traits.,"Morality, psychological ability.",,Historical accuracy/context can justify a lack of representation in some instances,"There are examples of historically important women, so it can't always be justified.",Yes,"It heavily hinges on opinion, but generally, it can be changed although there is always a discussion of sexuality and how much that can impact views.",Context,Actions,"Context, actions","Actions, appearance","character development, roles","context, actions, morality, outcome"
3,Man,24-29,United Kingdom,At least once a week,At least once a day,Very important,"Yes, I have heard of it before",Yes,Indicative,No,Split into multiple tests/criteria,"Jessica Jones, complex women, Murials wedding, Erin brokovich","The outer worlds varied well-written women, resident evil, cyberpunk 2077, important women",Yes,,"Independent, complex realistic personality, uncompromising beliefs, rational thought","One-dimensional, weak willed",Historical accuracy/context can justify a lack of representation in some instances,I think that as games are a form of art it is at the discretion of developers to decide how accurate/representative their game is,Yes,,conflict,"Everything, appearance, dialogue, choices",Relationships,"Choices, dialogue, importance",,"Strength, writing, characterisation"
4,Man,36-41,Croatia,At least once a year,At least once a day,Quite important,"Yes, I have heard of and used it before",No,Can fail good rep,Other (please clarify in Question 14 below),,"Alien, resourceful woman, Buffy the Vampire Slayer, complex women, Walking Dead","Metroid, Horizon Zero Dawn, player-created RPGs, Slay the Spire, lots of women, gender unimportant in characters",No,"A good character is a good character. You want to see a relatable and believable person. The gender of the character does not really play into whether they are a strong character or not. Unfortunately, female charactrs are often not fleshed out well, but that has nothing to do with traits.",,,Historical accuracy/context can justify a lack of representation in some instances,"Depends of what the movie is trying to achieve. Historical or cultural accuracy can be important for the story being told. Still, even the author of this questionaire has their history a bit wrong. There were many women in the People's Liberation Army of Yugoslavia, for example; many of them higly decorated. The point is, is it hisorical accuracy or faithfulness to the public perception of history that's being aimed for?y",Yes,A representation of any character is going to change as the culture changes. Nothing strange about that.,"setting, perspective",Well-written,"setting, perspective",Well-written,"genre, player choices",
5,Genderfluid between non-binary and male,18 - 23,United Kingdom,At least once a day,At least once a day,Very important,"Yes, I have heard of and used it before",Other (please clarify in Question 12 below),Doesn't account certain contexts,Other (please clarify in Question 14 below),"Guy/girl ratio, practical outfit design","The Expanse, realistic varying women","Last of Us, Horizon Zero Dawn, Fire Emblem: Three Houses, imperfect women w character development",Yes,,"independent, determined, comfortable with themselves, emotionally open",unjustifiedly reliant,Historical accuracy/context can justify a lack of representation in some instances,"Using the WW2 example, there’s plenty of films like that, so in this situation a different tale should be told. Why not do a tale on the women fighter pilots, or underground operatives instead for example. Additionally we are dealing with a tale, historical accuracy and creative freedom are not dependent on each other, for instances such as Peggy Carter from Marvel does not change the era that they are set in.",Yes,,"Setting, purpose, length","Actions, authentic, realistic","Tropes, writing","Relatability, variety",Varied PCs,
6,Man,36-41,United Kingdom,At least once a week,At least once a month,Quite important,"Yes, I have heard of it before",No,Doesn't account negative context,Yes,"Convo length, convo method in context","The Good Wife, The Good Fight, realistic women with outsourced and negative traits",,Yes,,"Physical and mentally strong, emotionally resilient. Not vulnerable to exterior pressure.",,Historical accuracy/context can justify a lack of representation in some instances,,Yes,Understanding that more and more women play computer games and are just as invested in gaming as men. Women are more likely to be looking for a character that is more like themselves and they can identify with rather than a character that they just find attractive.,,,,,,Character_creation
7,Woman,36-41,United Kingdom,At least once a day,At least once a day,Very important,"Yes, I have heard of and used it before",Yes,Can fail good rep,Yes,"Named characters, specific convo topics","Doctor who, realistic women","Horizon Zero Dawn, Hellblade: senua's sacrifice, Last of Us, important empathetic women w practical outfit",Other (please clarify in Question 18 below),I think the two parts of the question are in opposition to one another. Do I agree that female strength in video games is tied to specific traits? Possibly. Overcoming trauma comes up quite a bit, ,Reliant,Historical accuracy/context can justify a lack of representation in some instances,There is actual history and then cliche hegemonic history,," There were plenty of women fighting in ww2. 'The womanly face of war' is one resource about this. Whether games should portray this in accurate ways is up for debate. I think it would be good if COD had missions where women were in realistic roles, but if someone uploaded footage to YouTube of them stabbing perfectly nice women soldiers or spies, I would be sad. Same as when the suffragist gets killed in red dead redemption. In general, I like realism but realism can include accurate and respectful representation of minoritised groups",importance,"Appearance, objectification, stereotypes, backstory, relationships","Importance, plot","Their appearance, whether they are objectified, their back story and whether it relies on stereotypes  Appearance, backstory, stereotypes","Autonomy, choices, stereotypes","Appearance, roles, importance"
8,Woman,24-29,Ukraine ,At least once a day,At least once a week,Very important,"Yes, I have heard of and used it before",Yes,,Yes,"Convo context, specific convo topics","Merlin, evil but understandable woman, Brooklyn 99, Vox Machina, varied women","Last of Us 2, Hades",Yes,,"Drive, motivated, intelligent choices","Stupid, naïve",Historical accuracy/context can never justify a lack of representation,"‘Historical context’ is a consequence of overlooking women in history, especially WW2 - the amount of women snipers?? Women sergeants?? If historical context was actually accurate, there would be women everywhere- discriminated against mostly, but still there. The AIDS crisis?? Women are everywhere, always been everywhere in history, and erasing them is not synonymous of accuracy ",Other (please clarify in Question 24 below),"In theory, yes, but I can hardly think of a good example? Tomb Raider surely isn’t, the entire video game is her backside in tight pants in front of a scenery. It is difficult to say how it can be done - even turning into a robot would not really stop the sexualisation, and it kind of didn’t, the Metroid Dread example still has extremely exaggerated female traits and accents on thighs, waist, and I’m sure there are boobs there somewhere. Actually, maybe one example of it would be Vi and Caitlyn from League of Legends and the way, way, *way* better representation of them in Arcane series. It is, however, overshadowed by a toxic community that decided to sexualise a teenager in that show instead, so you know, you win some you loose some. ","Motivation, importance","Appearance, backstory","Motivation, importance, dialogue","Appearance, cast",Appearance,"Relatability, motivations"
9,a man baby,18 - 23,United States,At least once a week,At least once a week,Very important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),Accurate,Other (please clarify in Question 14 below),,"Alien, Sicario",Tomb Raider (2013),Yes,"real women, not feminist fantasy tropes, don't complain endlessly about hardship or prejudice. they get on with the task and achieve it to the best of their ability. this is a rare trait nowadays, as most women believe they are royalty to be presented upon a pedestal.","self reliance, independent",Overconfident,Historical accuracy/context can always justify a lack of representation,lol this is hilarious. yes I'd love to see more women on the battlefield. guess what happens when women get captured by the enemy? there's alot of reasons they shouldn't be there.,No,"no, the triple A games Industry is dying from talentless diversity hires. if women want better representation, they should make their own heroes instead of adopting those of horny adolescents",,,,,,
10,Man,18 - 23,United Kingdom,At least once a week,At least once a week,Quite important,"Yes, I have heard of it before",Other (please clarify in Question 12 below),Indicative,Other (please clarify in Question 14 below),Convo context,Legend of Korra,"Fall guys, Splatoon, Horizon zero dawn, strong woman, Sea of thieves",Other (please clarify in Question 18 below),"Where is the noir female detective down on their luck with an empty bottle in hand, strength seems to differ in what counts as strong between male and female character, this is a broad statement. My point is that strength seems to differ between the sexes in media but I don't know if it is alway a negative. Though the Mary Sue is an unfortunate stereotype. ","Physically strong, willpower, overcomes obstacles",Too strong,Historical accuracy/context can always justify a lack of representation,Historical accuracy is important and it can be used to highlight the issues of inequality at the time. You don't need female characters inaccurately portrayed to discuss issues of inequality. ,Yes,"Characters and people in real life can change, it can be a good opportunity to show growth and if done right can deepen the character immensely.",Character growth,Everything,"Character growth, empathy","Importance, character development",,
